,0
2001-04-11,-508.949644096016
2001-04-12,-489.10187216533166
2001-04-16,-566.8784081229306
2001-04-17,-626.4862075412367
2001-04-18,-604.2533866104363
2001-04-19,-529.8150655116668
2001-04-20,-510.016028896024
2001-04-23,-522.0060351539635
2001-04-24,-514.8084170215463
2001-04-25,-546.5411815953773
2001-04-26,-504.86501682343487
2001-04-27,-523.9225681072917
2001-04-30,-536.1348042945787
2001-05-01,-573.4764886610312
2001-05-02,-486.3531401745655
2001-05-03,-494.7445481878267
2001-05-04,-472.7202467251837
2001-05-07,-483.0115783491401
2001-05-08,-471.0412567576803
2001-05-09,-482.5295690526036
2001-05-10,-478.0951997420237
2001-05-11,-473.1256899073605
2001-05-14,-475.6411720136672
2001-05-15,-493.4062804017363
2001-05-16,-506.50311535461645
2001-05-17,-478.6673874822063
2001-05-18,-496.06002650441815
2001-05-21,-478.0932804009892
2001-05-22,-474.9508484745495
2001-05-23,-479.4551283332512
2001-05-24,-466.05902879480016
2001-05-25,-473.5215138868937
2001-05-29,-469.5998632406756
2001-05-30,-483.1880319099794
2001-05-31,-475.55915600099326
2001-06-01,-452.4942961010183
2001-06-04,-488.0412583776288
2001-06-05,-474.3258617284488
2001-06-06,-481.8979778205496
2001-06-07,-457.8732267122341
2001-06-08,-456.648387538597
2001-06-11,-481.722334340634
2001-06-12,-494.68075597396256
2001-06-13,-481.779141624788
2001-06-14,-539.1867096120167
2001-06-15,-483.1278073748669
2001-06-18,-487.5817382969012
2001-06-19,-514.50359235838
2001-06-20,-533.452694784165
2001-06-21,-495.7581857845457
2001-06-22,-478.3728646642375
2001-06-25,-482.9855538837577
2001-06-26,-519.7157207613609
2001-06-27,-498.7147290661679
2001-06-28,-558.8553281597715
2001-06-29,-505.3615537527718
2001-07-02,-455.7598134670121
2001-07-03,-479.37174982343095
2001-07-05,-462.79764303554856
2001-07-06,-472.1626786691345
2001-07-09,-478.0433448876803
2001-07-10,-554.4500717022005
2001-07-11,-536.4446513256751
2001-07-12,-473.4217067755324
2001-07-13,-517.3155168558193
2001-07-16,-521.4235042294434
2001-07-17,-516.8698642911105
2001-07-18,-528.9953862793261
2001-07-19,-488.1566555455025
2001-07-20,-481.64638676801496
2001-07-23,-505.8484827047478
2001-07-24,-571.8050733086133
2001-07-25,-545.3751861606479
2001-07-26,-481.960207264881
2001-07-27,-481.900186575268
2001-07-30,-501.509132345892
2001-07-31,-500.31152225208
2001-08-01,-527.8693577298211
2001-08-02,-452.58873326179975
2001-08-03,-453.2509233786941
2001-08-06,-458.70838008686553
2001-08-07,-462.0170238637182
2001-08-08,-460.7022520314276
2001-08-09,-453.1711338967398
2001-08-10,-457.0461433380949
2001-08-13,-457.3165131452059
2001-08-14,-492.0113390300834
2001-08-15,-485.1902373464417
2001-08-16,-468.4967764389172
2001-08-17,-484.4450384410384
2001-08-20,-476.0926495085522
2001-08-21,-475.5648472776712
2001-08-22,-478.336355468353
2001-08-23,-474.4597903173659
2001-08-24,-462.2489404366094
2001-08-27,-447.56301168022753
2001-08-28,-466.4215077271693
2001-08-29,-478.1023468165436
2001-08-30,-452.26185006988607
2001-08-31,-509.1047021590479
2001-09-04,-476.7462459530772
2001-09-05,-513.139378693573
2001-09-06,-483.6409391216902
2001-09-07,-495.6905592907837
2001-09-10,-966.847712994674
2001-09-17,-608.3943302578693
2001-09-18,-591.8730686694267
2001-09-19,-644.0439659929864
2001-09-20,-679.8951897963622
2001-09-21,-629.114598919672
2001-09-24,-569.6499886558026
2001-09-25,-809.9546038851774
2001-09-26,-592.5046687217764
2001-09-27,-559.208278145951
2001-09-28,-504.652535774549
2001-10-01,-539.604052763113
2001-10-02,-588.043427064295
2001-10-03,-506.5129201578267
2001-10-04,-538.9571023102112
2001-10-05,-494.693611642325
2001-10-08,-529.2163399991691
2001-10-09,-572.1865094399237
2001-10-10,-600.146863733723
2001-10-11,-499.7782922555591
2001-10-12,-489.89903764082624
2001-10-15,-495.2495677705203
2001-10-16,-558.6739175725963
2001-10-17,-531.8097087138038
2001-10-18,-504.1761138013849
2001-10-19,-521.3484930567973
2001-10-22,-513.7537652907486
2001-10-23,-508.26850475031375
2001-10-24,-503.15017637084856
2001-10-25,-482.38421528852587
2001-10-26,-480.9663183575056
